volume_name,yontem,girdi_sekli,spacing_mm,orientation,ornek_sekli,sekil_hata,geri_korelasyon,grid,n_crops,bos_kirpim_orani,hacim_std,k1_gecti,k1_nedenler,bos_uyari,sure_sn,cihaz,cos_v4
sub-S03085_ses-E70671_run-2_bp-chest_ct.nii.gz,meta,"[512, 512, 363]","[0.805, 0.805, 0.8]",RAS,"[824, 824, 291]",0.0021,0.9988,"[6, 6, 4]",144,0.0903,0.2418,True,,False,30.0,cuda:0,0.19729124009609222
sub-S03179_ses-E45458_acq-1_run-1_bp-chest_ct.nii.gz,meta,"[512, 145, 512]","[0.709, 2.0, 0.709]",RAS,"[726, 577, 363]",0.0052,0.9962,"[5, 4, 5]",100,0.0,0.2438,True,,False,17.0,cuda:0,0.4398566484451294
sub-S03185_ses-E08022_acq-1_run-1_bp-chest_ct.nii.gz,meta,"[512, 146, 512]","[0.741, 2.0, 0.741]",RAS,"[758, 581, 380]",0.0051,0.9959,"[5, 4, 5]",100,0.0,0.2336,True,,False,20.0,cuda:0,0.49797382950782776
sub-S03213_ses-E62578_run-1_bp-chest_ct.nii.gz,meta,"[512, 177, 512]","[0.74, 2.0, 0.74]",RAS,"[757, 705, 379]",0.0042,0.9971,"[5, 5, 5]",125,0.0,0.241,True,,False,28.3,cuda:0,0.2774197459220886
sub-S03337_ses-E16951_acq-1_run-1_bp-chest_ct.nii.gz,meta,"[512, 140, 512]","[0.74, 2.0, 0.74]",RAS,"[757, 557, 379]",0.0054,0.9953,"[5, 4, 5]",100,0.0,0.238,True,,False,13.9,cuda:0,0.19899459183216095
sub-S03340_ses-E41378_run-1_bp-chest_ct.nii.gz,meta,"[512, 512, 631]","[0.976, 0.976, 1.0]",RAS,"[998, 998, 631]",0.0014,0.9991,"[7, 7, 9]",441,0.2245,0.2335,True,,False,67.3,cuda:0,0.4034768044948578
sub-S03406_ses-E77057_run-3_bp-chest_ct.nii.gz,meta,"[512, 512, 407]","[0.747, 0.747, 0.8]",RAS,"[764, 764, 326]",0.0012,0.9986,"[5, 5, 5]",125,0.024,0.2386,True,,False,31.1,cuda:0,0.3326312303543091
sub-S03411_ses-E42516_run-2_bp-chest_ct.nii.gz,meta,"[512, 512, 382]","[0.782, 0.782, 0.8]",RAS,"[800, 800, 306]",0.0013,0.9988,"[6, 6, 4]",144,0.125,0.2396,True,,False,26.1,cuda:0,0.24846629798412323
sub-S03468_ses-E17322_run-1_bp-chest_ct.nii.gz,meta,"[512, 512, 426]","[0.741, 0.741, 0.8]",RAS,"[758, 758, 341]",0.001,0.9978,"[5, 5, 5]",125,0.032,0.2451,True,,False,18.8,cuda:0,0.0889861136674881
sub-S03555_ses-E70229_run-2_bp-chest_ct.nii.gz,meta,"[512, 512, 111]","[0.8711, 0.8711, 2.5]",RAS,"[891, 891, 276]",0.0054,0.9989,"[6, 6, 4]",144,0.125,0.2336,True,,False,30.6,cuda:0,0.5693524479866028
sub-S03647_ses-E07848_run-2_bp-chest_ct.nii.gz,meta,"[512, 512, 380]","[0.7574, 0.7574, 0.75]",RAS,"[775, 775, 285]",0.0008,0.9904,"[6, 6, 4]",144,0.0417,0.2407,True,,False,25.7,cuda:0,0.38361620903015137
sub-S03657_ses-E76769_run-1_bp-chest_ct.nii.gz,meta,"[512, 512, 111]","[0.4883, 0.4883, 1.5]",RAS,"[500, 500, 166]",0.003,0.9996,"[3, 3, 2]",18,0.0,0.2771,True,,False,4.9,cuda:0,0.6618903875350952
sub-S03669_ses-E07444_run-1_bp-chest_ct.nii.gz,meta,"[512, 512, 359]","[0.6741, 0.6741, 0.7]",RAS,"[690, 690, 252]",0.0029,0.9982,"[5, 5, 3]",75,0.1733,0.2545,True,,False,14.2,cuda:0,0.7109299898147583
sub-S03701_ses-E64027_acq-1_run-1_bp-chest_ct.nii.gz,meta,"[512, 158, 512]","[0.74, 2.0, 0.74]",RAS,"[757, 629, 379]",0.0047,0.9968,"[5, 4, 5]",100,0.0,0.2377,True,,False,16.4,cuda:0,0.48933324217796326
sub-S03702_ses-E07509_run-1_bp-chest_ct.nii.gz,meta,"[512, 512, 457]","[0.6261, 0.6261, 0.7001]",RAS,"[641, 641, 320]",0.0002,0.9876,"[5, 5, 5]",125,0.04,0.2461,True,,False,19.5,cuda:0,0.3289657235145569
sub-S03806_ses-E08207_run-2_bp-chest_ct.nii.gz,meta,"[512, 512, 396]","[0.6758, 0.6758, 0.75]",RAS,"[692, 692, 297]",0.0,0.9934,"[5, 5, 4]",100,0.01,0.2371,True,,False,14.5,cuda:0,0.40067169070243835
sub-S03825_ses-E07697_run-2_bp-chest_ct.nii.gz,meta,"[768, 103, 768]","[0.5852, 3.0, 0.5852]",RAS,"[899, 613, 450]",0.0081,0.996,"[7, 4, 7]",196,0.3214,0.2217,True,,False,23.3,cuda:0,0.47700780630111694
