volume_name,yontem,girdi_sekli,spacing_mm,orientation,ornek_sekli,sekil_hata,geri_korelasyon,grid,n_crops,bos_kirpim_orani,hacim_std,k1_gecti,k1_nedenler,bos_uyari,sure_sn,cihaz,cos_v4
valid_130_a_1.nii.gz,meta,"[1024, 1024, 263]","[0.3887, 0.3887, 1.5]",RAS,"[796, 796, 394]",0.0013,0.997,"[6, 6, 6]",216,0.125,0.2192,True,,False,35.6,cuda:0,0.6167730689048767
valid_1186_a_1.nii.gz,meta,"[512, 512, 231]","[0.6836, 0.6836, 1.5]",RAS,"[700, 700, 346]",0.0014,0.9997,"[5, 5, 5]",125,0.024,0.2325,True,,False,27.8,cuda:0,0.5742584466934204
valid_63_a_2.nii.gz,meta,"[512, 512, 451]","[0.793, 0.793, 0.75]",RAS,"[811, 811, 338]",0.0012,0.9987,"[6, 6, 5]",180,0.0667,0.2361,True,,False,30.8,cuda:0,0.9536733031272888
valid_230_a_2.nii.gz,meta,"[512, 512, 354]","[0.6583, 0.6583, 1.0]",RAS,"[674, 674, 354]",0.0001,0.9887,"[5, 5, 5]",125,0.0,0.2454,True,,False,18.4,cuda:0,0.8040448427200317
valid_405_a_1.nii.gz,meta,"[768, 768, 221]","[0.4193, 0.4193, 1.5]",RAS,"[644, 644, 331]",0.0015,0.998,"[5, 5, 5]",125,0.048,0.2425,True,,False,27.4,cuda:0,0.41720008850097656
valid_530_a_2.nii.gz,meta,"[1024, 1024, 117]","[0.3418, 0.3418, 3.0]",RAS,"[700, 700, 349]",0.0057,0.9972,"[5, 5, 5]",125,0.04,0.2395,True,,False,27.6,cuda:0,0.2973960340023041
valid_667_a_1.nii.gz,meta,"[1024, 1024, 183]","[0.3418, 0.3418, 1.5]",RAS,"[700, 700, 274]",0.0018,0.9943,"[5, 5, 4]",100,0.0,0.2342,True,,False,21.8,cuda:0,0.15006369352340698
valid_712_a_2.nii.gz,meta,"[512, 512, 204]","[0.8184, 0.8184, 1.5]",RAS,"[837, 837, 306]",0.0012,0.9982,"[6, 6, 4]",144,0.1944,0.2175,True,,False,26.3,cuda:0,0.9175468683242798
valid_627_a_1.nii.gz,meta,"[1024, 1024, 219]","[0.3418, 0.3418, 1.5]",RAS,"[700, 700, 328]",0.0015,0.9946,"[5, 5, 5]",125,0.0,0.2315,True,,False,30.5,cuda:0,0.2652071416378021
valid_314_a_1.nii.gz,meta,"[1024, 1024, 248]","[0.3701, 0.3701, 1.5]",RAS,"[758, 758, 372]",0.0,0.9908,"[5, 5, 5]",125,0.0,0.2328,True,,False,32.2,cuda:0,0.3904799520969391
valid_1110_a_2.nii.gz,meta,"[512, 512, 473]","[0.625, 0.625, 0.75]",RAS,"[640, 640, 355]",0.0007,0.9996,"[5, 5, 5]",125,0.008,0.235,True,,False,27.7,cuda:0,0.6388117074966431
valid_1179_a_2.nii.gz,meta,"[1024, 1024, 100]","[0.3418, 0.3418, 3.0]",RAS,"[700, 700, 298]",0.0067,0.9976,"[5, 5, 4]",100,0.07,0.2418,True,,False,28.7,cuda:0,0.24874310195446014
valid_983_a_1.nii.gz,meta,"[1024, 1024, 232]","[0.3896, 0.3896, 1.5]",RAS,"[798, 798, 348]",0.0,0.9965,"[6, 6, 5]",180,0.0444,0.2394,True,,False,27.1,cuda:0,0.4719051718711853
valid_29_a_1.nii.gz,meta,"[1024, 1024, 230]","[0.3418, 0.3418, 1.5]",RAS,"[700, 700, 344]",0.0029,0.996,"[5, 5, 5]",125,0.04,0.2311,True,,False,29.0,cuda:0,0.370930939912796
valid_382_c_2.nii.gz,meta,"[512, 512, 234]","[0.7676, 0.7676, 1.25]",RAS,"[785, 785, 292]",0.0017,0.9964,"[6, 6, 4]",144,0.1042,0.2369,True,,False,19.5,cuda:0,0.9241719245910645
valid_202_a_1.nii.gz,meta,"[1024, 1024, 242]","[0.3779, 0.3779, 1.5]",RAS,"[774, 774, 362]",0.0028,0.9939,"[6, 6, 5]",180,0.0278,0.2433,True,,False,34.9,cuda:0,0.5358396172523499
valid_731_a_2.nii.gz,meta,"[512, 512, 262]","[0.707, 0.707, 1.25]",RAS,"[724, 724, 327]",0.0015,0.9989,"[5, 5, 5]",125,0.088,0.2438,True,,False,16.6,cuda:0,0.7479091882705688
valid_553_a_1.nii.gz,meta,"[512, 512, 250]","[0.6836, 0.6836, 1.5]",RAS,"[700, 700, 374]",0.0027,0.9989,"[5, 5, 5]",125,0.2,0.2391,True,,False,14.3,cuda:0,0.33143216371536255
valid_464_a_2.nii.gz,meta,"[512, 512, 509]","[0.7441, 0.7441, 0.75]",RAS,"[762, 762, 382]",0.0007,0.9994,"[5, 5, 5]",125,0.0,0.2419,True,,False,20.0,cuda:0,0.7100151181221008
valid_1222_a_1.nii.gz,meta,"[1024, 1024, 249]","[0.3936, 0.3936, 1.5]",RAS,"[806, 806, 373]",0.0013,0.9959,"[6, 6, 5]",180,0.0222,0.2423,True,,False,33.9,cuda:0,0.2636497914791107
valid_1115_a_1.nii.gz,meta,"[768, 768, 221]","[0.4674, 0.4674, 1.5]",RAS,"[718, 718, 331]",0.0015,0.9963,"[5, 5, 5]",125,0.016,0.2382,True,,False,19.6,cuda:0,0.40725672245025635
valid_600_a_2.nii.gz,meta,"[512, 512, 447]","[0.8262, 0.8262, 0.75]",RAS,"[845, 845, 336]",0.0022,0.9984,"[6, 6, 5]",180,0.0944,0.227,True,,False,29.2,cuda:0,0.9229304194450378
valid_328_a_2.nii.gz,meta,"[512, 512, 316]","[0.7423, 0.7423, 1.0]",RAS,"[760, 760, 316]",0.0002,0.9948,"[5, 5, 4]",100,0.0,0.2444,True,,False,13.0,cuda:0,0.6686761975288391
valid_1296_a_1.nii.gz,meta,"[1024, 1024, 236]","[0.4326, 0.4326, 1.5]",RAS,"[886, 886, 354]",0.0,0.9948,"[6, 6, 5]",180,0.0167,0.2327,True,,False,41.0,cuda:0,0.20129483938217163
valid_507_a_1.nii.gz,meta,"[1024, 1024, 227]","[0.4463, 0.4463, 1.5]",RAS,"[914, 914, 340]",0.0015,0.9936,"[7, 7, 5]",245,0.0367,0.2351,True,,False,49.2,cuda:0,0.5731781721115112
valid_118_a_2.nii.gz,meta,"[512, 512, 262]","[0.7423, 0.7423, 1.25]",RAS,"[760, 760, 327]",0.0015,0.9992,"[5, 5, 5]",125,0.056,0.2299,True,,False,14.0,cuda:0,0.836846649646759
valid_394_a_1.nii.gz,meta,"[512, 512, 307]","[0.7986, 0.7986, 1.0]",RAS,"[817, 817, 307]",0.001,0.9986,"[6, 6, 4]",144,0.1806,0.2356,True,,False,20.5,cuda:0,0.7881177663803101
valid_575_a_1.nii.gz,meta,"[512, 512, 222]","[0.7461, 0.7461, 1.5]",RAS,"[764, 764, 332]",0.003,0.9993,"[5, 5, 5]",125,0.16,0.228,True,,False,13.3,cuda:0,0.1377825140953064
valid_672_a_2.nii.gz,meta,"[512, 512, 454]","[0.7559, 0.7559, 0.75]",RAS,"[773, 773, 341]",0.0015,0.9968,"[6, 6, 5]",180,0.2333,0.2324,True,,False,22.5,cuda:0,0.9313563704490662
